Wall time,Step,Value
1782285559.3630674,501760,1343.4200439453125
1782285568.1789513,503808,1343.4200439453125
1782285581.6294696,506880,1343.4200439453125
1782285599.3629694,510976,1343.4200439453125
1782285612.5920885,514048,1343.4200439453125
1782285616.9606779,515072,1440.6800537109375
1782285621.410864,516096,1037.7900390625
1782285634.6965387,519168,931.5800170898438
1782285643.6263597,521216,1037.5899658203125
1782285648.1114419,522240,1037.5899658203125
1782285652.607713,523264,1037.5899658203125
1782285657.0266066,524288,1037.5899658203125
1782285661.4745574,525312,1037.5899658203125
1782285665.894413,526336,1037.5899658203125
1782285670.3930557,527360,1037.5899658203125
1782285683.7599638,530432,1037.5899658203125
1782285688.2267618,531456,1037.5899658203125
1782285692.6920505,532480,1037.5899658203125
1782285697.077517,533504,1069.81005859375
1782285710.343631,536576,1069.81005859375
1782285741.31068,543744,931.2100219726562
1782285754.5918171,546816,931.2100219726562
1782285759.0241325,547840,931.2100219726562
1782285767.8935554,549888,931.2100219726562
1782285772.4572735,550912,762.8300170898438
1782285776.909403,551936,762.8300170898438
1782285781.309438,552960,704.3400268554688
1782285785.7934904,553984,704.3400268554688
1782285794.6262207,556032,708.6500244140625
1782285799.0778992,557056,489.1000061035156
1782285803.5239253,558080,392.30999755859375
1782285812.3250742,560128,392.30999755859375
1782285816.8235974,561152,598.6900024414062
1782285830.1435819,564224,564.489990234375
1782285839.0233471,566272,567.9099731445312
1782285847.8468525,568320,467.1099853515625
1782285852.3082712,569344,469.79998779296875
1782285856.7745726,570368,469.79998779296875
1782285883.3607867,576512,520.6799926757812
1782285887.8500843,577536,491.05999755859375
1782285892.3442507,578560,516.5599975585938
1782285910.2272487,582656,516.5599975585938
1782285923.5394332,585728,516.5599975585938
1782285932.3111954,587776,444.2799987792969
1782285945.6394367,590848,528.0399780273438
1782285963.2247045,594944,539.5599975585938
1782285980.808243,599040,403.6300048828125
1782285985.1787026,600064,417.9200134277344
1782285989.5900307,601088,417.9200134277344
1782285998.4443448,603136,425.3999938964844
1782286002.8945718,604160,459.5799865722656
1782286007.3455677,605184,459.5799865722656
1782286011.8297122,606208,459.5799865722656
1782286016.233244,607232,461.2799987792969
1782286025.110036,609280,461.2799987792969
1782286033.9761412,611328,455.7900085449219
1782286038.4446237,612352,455.7900085449219
1782286042.8944259,613376,369.54998779296875
1782286047.3456438,614400,369.54998779296875
1782286056.2770424,616448,369.54998779296875
1782286060.7750638,617472,369.54998779296875
1782286065.2218788,618496,369.54998779296875
1782286074.125599,620544,369.54998779296875
1782286087.4569397,623616,393.8599853515625
1782286096.329249,625664,430.67999267578125
1782286109.6964664,628736,430.67999267578125
1782286114.1439815,629760,430.67999267578125
1782286123.0762765,631808,430.67999267578125
1782286131.9304857,633856,427.8800048828125
1782286140.841892,635904,427.8800048828125
1782286149.8082845,637952,427.8800048828125
1782286154.2578225,638976,427.8800048828125
1782286167.521431,642048,427.8800048828125
1782286176.4098535,644096,427.8800048828125
1782286180.8206947,645120,427.8800048828125
1782286198.4121854,649216,427.8800048828125
1782286207.2411563,651264,427.8800048828125
1782286216.1708105,653312,427.8800048828125
1782286229.409434,656384,427.8800048828125
1782286233.825727,657408,427.8800048828125
1782286238.2767723,658432,427.8800048828125
1782286242.7042208,659456,427.8800048828125
1782286247.1600194,660480,427.8800048828125
1782286251.6075037,661504,427.8800048828125
1782286269.3382967,665600,427.8800048828125
1782286278.1764185,667648,427.8800048828125
1782286282.5881226,668672,427.8800048828125
1782286287.0088053,669696,427.8800048828125
1782286291.4465659,670720,427.8800048828125
1782286295.8708787,671744,427.8800048828125
1782286309.1280658,674816,427.8800048828125
1782286313.538178,675840,598.1599731445312
1782286317.9040956,676864,528.1799926757812
1782286348.9374018,684032,528.1799926757812
1782286362.158359,687104,520.8499755859375
1782286384.228061,692224,520.8499755859375
1782286388.7723053,693248,520.8499755859375
1782286393.2435381,694272,557.780029296875
1782286406.5033638,697344,557.780029296875
1782286415.4700217,699392,557.780029296875
1782286419.9031262,700416,557.780029296875
1782286424.3589993,701440,529.719970703125
1782286437.7696898,704512,529.719970703125
1782286460.0586355,709632,521.7100219726562
1782286468.9427645,711680,521.7100219726562
1782286473.3749447,712704,521.7100219726562
1782286477.8037019,713728,521.7100219726562
1782286482.257128,714752,521.7100219726562
1782286491.1572716,716800,521.7100219726562
1782286504.6231983,719872,521.7100219726562
1782286509.0920172,720896,521.7100219726562
1782286517.9202788,722944,598.27001953125
1782286535.7393286,727040,598.27001953125
1782286540.2522922,728064,598.27001953125
1782286549.1556752,730112,588.3599853515625
1782286562.586163,733184,588.3599853515625
1782286571.4380581,735232,588.3599853515625
1782286580.2416449,737280,548.77001953125
1782286584.7368965,738304,548.77001953125
1782286589.174659,739328,548.77001953125
1782286598.1185834,741376,548.77001953125
1782286606.9073932,743424,548.77001953125
1782286611.406569,744448,548.77001953125
1782286615.8536813,745472,548.77001953125
1782286620.2535048,746496,548.77001953125
1782286624.6779344,747520,611.219970703125
1782286633.551539,749568,333.29998779296875
1782286637.902335,750592,333.29998779296875
1782286642.306924,751616,333.29998779296875
1782286664.7624745,756736,333.29998779296875
1782286669.273946,757760,333.29998779296875
1782286673.7597554,758784,333.29998779296875
1782286682.6028357,760832,333.29998779296875
1782286687.0558763,761856,333.29998779296875
1782286691.5015619,762880,333.29998779296875
1782286695.9237688,763904,333.29998779296875
1782286727.054654,771072,333.29998779296875
1782286740.2679,774144,333.29998779296875
1782286744.693402,775168,333.29998779296875
1782286753.4847398,777216,333.29998779296875
1782286775.6598785,782336,735.8300170898438
1782286780.087752,783360,735.8300170898438
1782286784.4690008,784384,735.8300170898438
1782286797.857156,787456,735.8300170898438
1782286802.3405633,788480,735.8300170898438
